C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
123.3 	52.2 	46.0 	0.0 	-0.9 	0.0 	189.1 	62.5 	0.0 	-7.7 	0.0 	222.0 	0.0 	-29.7 	0.0 	71.5 	0.0 	5.3 	46.6 	0.0 	46.3 	
122.9 	51.6 	45.6 	0.0 	-0.7 	0.0 	188.2 	62.4 	0.0 	-6.4 	0.0 	223.5 	0.0 	-30.2 	0.0 	71.3 	0.0 	5.2 	47.0 	0.0 	46.4 	
122.9 	52.6 	45.6 	0.0 	-0.6 	0.0 	188.3 	62.6 	0.0 	-6.9 	0.0 	223.2 	0.0 	-30.1 	0.0 	71.6 	0.0 	5.4 	46.7 	0.0 	46.6 	
122.2 	50.8 	45.7 	0.0 	-0.7 	0.0 	189.6 	62.3 	0.0 	-6.4 	0.0 	223.6 	0.0 	-30.1 	0.0 	71.0 	0.0 	5.4 	46.9 	0.0 	46.4 	
123.1 	52.7 	46.0 	0.0 	-1.0 	0.0 	189.6 	62.0 	0.0 	-6.9 	0.0 	222.3 	0.0 	-29.6 	0.0 	71.4 	0.0 	5.5 	47.0 	0.0 	46.1 	
122.3 	52.2 	44.9 	0.0 	-0.7 	0.0 	188.5 	62.0 	0.0 	-6.6 	0.0 	222.4 	0.0 	-30.0 	0.0 	71.4 	0.0 	5.3 	46.5 	0.0 	46.5 	
122.1 	52.3 	46.3 	0.0 	-0.7 	0.0 	189.8 	62.4 	0.0 	-7.4 	0.0 	222.9 	0.0 	-30.1 	0.0 	71.4 	0.0 	5.2 	46.9 	0.0 	46.2 	
123.2 	51.2 	45.9 	0.0 	-0.8 	0.0 	188.9 	61.7 	0.0 	-6.3 	0.0 	222.7 	0.0 	-29.8 	0.0 	71.4 	0.0 	5.5 	46.7 	0.0 	46.6 	
123.0 	52.6 	45.6 	0.0 	-1.0 	0.0 	189.2 	62.1 	0.0 	-6.3 	0.0 	222.0 	0.0 	-29.9 	0.0 	71.6 	0.0 	5.5 	46.8 	0.0 	46.3 	
122.9 	51.4 	45.6 	0.0 	-0.7 	0.0 	189.6 	62.9 	0.0 	-6.6 	0.0 	221.5 	0.0 	-29.8 	0.0 	71.4 	0.0 	5.6 	47.2 	0.0 	46.2 	
122.4 	52.5 	45.7 	0.0 	-0.7 	0.0 	189.0 	61.8 	0.0 	-6.8 	0.0 	223.2 	0.0 	-29.8 	0.0 	71.7 	0.0 	5.4 	46.9 	0.0 	46.0 	
122.8 	51.4 	46.4 	0.0 	-0.9 	0.0 	189.4 	62.4 	0.0 	-7.0 	0.0 	222.8 	0.0 	-29.7 	0.0 	71.5 	0.0 	5.4 	46.9 	0.0 	46.1 	
122.9 	50.7 	46.1 	0.0 	-0.4 	0.0 	188.9 	62.7 	0.0 	-7.0 	0.0 	223.2 	0.0 	-30.0 	0.0 	71.2 	0.0 	5.4 	46.8 	0.0 	46.3 	
123.0 	52.2 	45.3 	0.0 	-0.7 	0.0 	188.2 	62.0 	0.0 	-6.7 	0.0 	222.2 	0.0 	-30.1 	0.0 	71.5 	0.0 	5.3 	46.7 	0.0 	46.0 	
121.7 	52.3 	45.7 	0.0 	-1.1 	0.0 	189.2 	61.4 	0.0 	-7.0 	0.0 	222.8 	0.0 	-30.2 	0.0 	71.2 	0.0 	5.6 	46.7 	0.0 	46.2 	
122.8 	52.9 	46.0 	0.0 	-0.9 	0.0 	188.3 	62.3 	0.0 	-7.5 	0.0 	222.6 	0.0 	-29.9 	0.0 	71.2 	0.0 	5.5 	46.9 	0.0 	46.1 	
123.3 	51.8 	45.1 	0.0 	-0.7 	0.0 	189.2 	62.2 	0.0 	-6.2 	0.0 	223.5 	0.0 	-29.7 	0.0 	71.8 	0.0 	5.3 	46.7 	0.0 	46.3 	
123.1 	51.3 	45.2 	0.0 	-0.6 	0.0 	189.4 	63.5 	0.0 	-7.7 	0.0 	222.5 	0.0 	-30.0 	0.0 	71.4 	0.0 	5.7 	46.7 	0.0 	45.8 	
123.1 	52.3 	46.4 	0.0 	-0.7 	0.0 	189.7 	61.8 	0.0 	-7.4 	0.0 	221.9 	0.0 	-29.9 	0.0 	71.2 	0.0 	5.5 	46.8 	0.0 	46.0 	
122.9 	51.3 	46.0 	0.0 	-0.8 	0.0 	188.6 	62.1 	0.0 	-6.7 	0.0 	222.7 	0.0 	-30.3 	0.0 	71.5 	0.0 	5.4 	47.0 	0.0 	46.3 	
123.6 	52.6 	45.8 	0.0 	-0.7 	0.0 	189.1 	63.3 	0.0 	-6.9 	0.0 	223.2 	0.0 	-29.8 	0.0 	71.5 	0.0 	5.3 	46.8 	0.0 	46.1 	
123.1 	52.4 	46.0 	0.0 	-0.6 	0.0 	188.6 	62.9 	0.0 	-6.3 	0.0 	224.3 	0.0 	-30.3 	0.0 	71.4 	0.0 	5.3 	46.7 	0.0 	46.8 	
122.9 	52.1 	45.4 	0.0 	-0.8 	0.0 	189.5 	62.0 	0.0 	-6.4 	0.0 	223.0 	0.0 	-30.4 	0.0 	71.1 	0.0 	5.1 	47.0 	0.0 	46.6 	
123.0 	52.0 	46.0 	0.0 	-0.9 	0.0 	189.8 	62.5 	0.0 	-6.8 	0.0 	222.0 	0.0 	-30.0 	0.0 	71.7 	0.0 	5.3 	46.8 	0.0 	46.1 	
122.0 	51.5 	46.5 	0.0 	-0.5 	0.0 	188.3 	63.1 	0.0 	-7.0 	0.0 	223.8 	0.0 	-29.9 	0.0 	71.2 	0.0 	5.6 	46.9 	0.0 	46.4 	
122.2 	51.8 	46.8 	0.0 	-0.6 	0.0 	189.8 	62.9 	0.0 	-7.0 	0.0 	223.1 	0.0 	-29.7 	0.0 	71.6 	0.0 	5.6 	47.1 	0.0 	46.1 	
122.8 	51.8 	45.8 	0.0 	-0.6 	0.0 	188.2 	62.5 	0.0 	-6.8 	0.0 	223.4 	0.0 	-29.8 	0.0 	71.7 	0.0 	5.2 	46.8 	0.0 	46.1 	
