C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
97.5 	44.1 	37.7 	5.8 	0.1 	-0.4 	187.4 	17.4 	-6.9 	-4.8 	-6.5 	168.6 	3.1 	7.3 	-10.1 	23.5 	-1.1 	-4.9 	33.2 	1.5 	35.4 	
96.2 	45.4 	38.1 	6.0 	-0.2 	-0.4 	189.5 	10.1 	-7.1 	-4.8 	-7.6 	169.7 	2.1 	7.7 	-9.6 	23.7 	-1.0 	-4.9 	33.1 	1.3 	35.7 	
95.7 	45.7 	36.8 	6.0 	0.0 	-0.3 	190.6 	13.9 	-6.8 	-5.1 	-6.5 	173.2 	2.5 	7.1 	-9.7 	23.6 	-1.0 	-4.8 	33.0 	1.3 	35.5 	
94.6 	46.0 	37.1 	6.0 	-0.5 	-0.3 	190.6 	18.6 	-7.1 	-4.9 	-7.1 	170.8 	2.7 	6.0 	-10.6 	23.6 	-1.2 	-4.8 	33.1 	1.5 	35.6 	
96.8 	44.1 	39.9 	5.9 	-0.0 	-0.6 	187.3 	13.4 	-7.3 	-4.9 	-6.6 	171.0 	2.7 	7.7 	-9.6 	23.5 	-1.1 	-4.8 	32.9 	1.5 	35.7 	
96.6 	46.5 	37.4 	6.0 	-0.2 	-0.8 	191.9 	17.8 	-7.1 	-5.6 	-5.9 	173.8 	1.6 	8.2 	-10.2 	23.6 	-1.0 	-4.8 	33.1 	1.6 	35.6 	
96.1 	46.3 	41.1 	5.8 	-0.3 	-0.6 	185.4 	14.2 	-6.9 	-6.5 	-7.2 	168.0 	2.2 	6.9 	-10.5 	23.7 	-1.1 	-4.9 	33.0 	1.3 	35.6 	
95.3 	46.2 	37.7 	6.3 	-0.4 	-0.7 	190.7 	17.4 	-7.0 	-4.3 	-6.6 	171.0 	2.1 	8.1 	-9.8 	23.6 	-0.9 	-4.9 	33.0 	1.5 	35.5 	
95.6 	47.5 	38.3 	5.6 	-0.0 	-0.5 	188.3 	15.1 	-6.9 	-4.8 	-6.5 	171.2 	2.4 	6.6 	-9.6 	23.6 	-1.2 	-4.7 	33.0 	1.4 	35.4 	
96.4 	46.9 	38.2 	6.2 	-0.2 	-0.1 	191.0 	17.7 	-7.1 	-4.8 	-7.1 	173.3 	1.9 	8.0 	-9.7 	23.6 	-1.0 	-4.9 	32.8 	1.3 	35.5 	
96.3 	46.4 	38.9 	6.2 	0.0 	-0.6 	193.5 	16.8 	-7.0 	-5.0 	-6.0 	169.0 	1.8 	6.5 	-9.8 	23.6 	-1.1 	-4.8 	33.0 	1.5 	35.8 	
96.7 	47.7 	39.5 	5.7 	-0.4 	-0.5 	188.0 	18.0 	-6.7 	-6.0 	-7.5 	173.9 	2.2 	7.1 	-10.9 	23.7 	-1.3 	-4.8 	33.2 	1.5 	35.6 	
97.2 	44.6 	37.4 	5.8 	0.1 	-0.8 	193.2 	14.0 	-6.5 	-5.2 	-6.4 	169.6 	2.4 	7.2 	-9.2 	23.6 	-1.2 	-5.0 	33.2 	1.5 	35.4 	
95.4 	44.8 	37.6 	6.2 	0.1 	-0.1 	192.3 	17.9 	-6.6 	-4.8 	-5.6 	172.1 	2.2 	7.7 	-9.9 	23.6 	-1.1 	-4.7 	33.1 	1.4 	35.3 	
96.3 	48.6 	39.2 	5.9 	-0.3 	-0.4 	192.3 	11.8 	-6.9 	-5.4 	-7.9 	173.8 	2.2 	7.2 	-9.9 	23.7 	-1.1 	-4.9 	33.1 	1.2 	35.4 	
96.6 	45.6 	38.7 	5.7 	-0.3 	-0.0 	191.6 	14.5 	-6.8 	-4.5 	-7.4 	172.7 	2.3 	7.1 	-9.8 	23.6 	-1.1 	-4.9 	33.0 	1.7 	35.7 	
96.0 	46.0 	38.1 	6.0 	-0.2 	-0.4 	193.5 	12.5 	-7.7 	-5.2 	-6.4 	168.8 	2.4 	6.7 	-9.9 	23.5 	-1.2 	-4.7 	33.0 	1.5 	35.7 	
95.8 	45.6 	38.4 	5.8 	-0.4 	-0.3 	185.6 	12.7 	-7.1 	-5.2 	-6.7 	169.7 	2.2 	6.3 	-9.3 	23.6 	-0.8 	-4.7 	33.0 	1.4 	35.3 	
96.7 	45.6 	38.1 	5.7 	-0.3 	-0.4 	186.0 	17.5 	-6.5 	-4.9 	-6.0 	174.2 	2.2 	6.8 	-9.6 	23.6 	-1.0 	-4.6 	33.2 	1.6 	35.5 	
95.2 	43.1 	37.8 	5.9 	-0.3 	-0.5 	189.8 	18.5 	-7.6 	-5.8 	-6.9 	174.4 	2.0 	6.7 	-9.3 	23.6 	-1.2 	-4.6 	33.0 	1.4 	35.6 	
97.1 	46.2 	37.8 	6.0 	-0.4 	-0.4 	191.6 	19.9 	-6.8 	-4.3 	-7.0 	171.3 	2.3 	6.8 	-9.2 	23.6 	-0.9 	-4.7 	32.8 	1.4 	35.6 	
94.8 	45.6 	39.3 	5.9 	-0.4 	-0.8 	191.5 	14.7 	-6.6 	-5.7 	-6.4 	171.2 	1.7 	6.8 	-10.1 	23.6 	-1.2 	-4.7 	33.1 	1.3 	35.3 	
96.2 	45.6 	37.7 	5.8 	-0.7 	-0.3 	190.1 	14.8 	-7.2 	-5.5 	-5.8 	175.2 	2.5 	7.9 	-10.2 	23.6 	-1.2 	-4.7 	32.9 	1.5 	35.5 	
96.4 	45.5 	36.9 	6.0 	-0.2 	-0.2 	187.7 	18.6 	-7.2 	-4.9 	-6.7 	171.1 	2.0 	7.2 	-10.1 	23.6 	-1.2 	-4.8 	33.1 	1.2 	35.5 	
94.9 	45.6 	40.1 	5.6 	-0.3 	-0.1 	188.7 	15.0 	-7.3 	-4.7 	-6.9 	167.7 	2.1 	6.6 	-9.3 	23.6 	-1.1 	-4.9 	33.0 	1.5 	35.5 	
95.4 	47.0 	37.3 	6.0 	-0.3 	-0.5 	189.8 	15.3 	-6.6 	-5.0 	-6.7 	174.4 	2.2 	7.3 	-9.5 	23.6 	-1.1 	-5.0 	33.2 	1.5 	35.5 	
96.5 	48.1 	39.2 	5.8 	0.0 	-0.3 	189.9 	15.2 	-7.3 	-5.4 	-6.1 	170.8 	1.9 	7.1 	-10.2 	23.6 	-1.1 	-4.7 	33.1 	1.5 	35.9 	
96.1 	46.9 	39.1 	5.8 	-0.0 	-0.7 	186.6 	12.8 	-7.3 	-4.7 	-7.2 	173.5 	2.8 	7.8 	-10.0 	23.5 	-1.1 	-4.8 	33.0 	1.4 	35.5 	
96.2 	45.1 	38.3 	5.7 	-0.1 	-0.4 	186.4 	13.2 	-6.9 	-5.0 	-7.2 	173.0 	2.4 	7.7 	-10.4 	23.7 	-1.0 	-4.9 	32.9 	1.4 	35.5 	
96.1 	46.5 	37.3 	5.9 	-0.1 	-0.3 	192.9 	15.7 	-6.8 	-5.0 	-6.8 	170.0 	2.0 	6.8 	-9.6 	23.5 	-1.2 	-4.7 	33.2 	1.4 	35.7 	
95.8 	47.2 	38.0 	6.0 	-0.1 	-0.6 	189.4 	16.4 	-7.3 	-5.6 	-6.1 	176.2 	2.7 	7.3 	-9.5 	23.6 	-1.1 	-4.7 	33.2 	1.4 	35.3 	
97.7 	48.4 	40.3 	5.9 	-0.2 	-0.7 	191.7 	17.9 	-7.3 	-4.9 	-7.0 	170.1 	2.4 	7.0 	-9.9 	23.6 	-1.0 	-4.7 	33.3 	1.4 	35.6 	
96.6 	46.5 	38.9 	6.0 	-0.0 	-0.2 	191.5 	14.6 	-7.2 	-5.1 	-8.2 	168.2 	2.1 	7.2 	-10.3 	23.6 	-1.3 	-4.9 	33.3 	1.3 	35.4 	
95.9 	45.0 	37.8 	6.0 	0.0 	-0.4 	188.5 	14.9 	-7.4 	-5.8 	-6.6 	169.8 	2.3 	6.9 	-8.9 	23.6 	-1.0 	-4.8 	33.0 	1.3 	35.5 	
95.5 	46.3 	37.1 	5.7 	-0.3 	-0.2 	189.4 	19.2 	-6.9 	-5.3 	-7.1 	172.1 	1.8 	7.1 	-10.0 	23.6 	-1.0 	-4.6 	33.2 	1.2 	35.6 	
97.3 	46.4 	36.4 	6.0 	-0.0 	0.0 	193.1 	16.7 	-7.5 	-5.5 	-7.2 	173.2 	2.4 	8.1 	-9.3 	23.7 	-1.2 	-4.8 	33.0 	1.5 	35.4 	
96.7 	46.0 	37.7 	5.8 	-0.6 	-0.4 	187.5 	11.9 	-7.6 	-5.7 	-7.9 	171.1 	2.4 	8.0 	-10.2 	23.5 	-1.0 	-4.7 	33.0 	1.4 	35.3 	
97.4 	46.2 	38.1 	6.0 	-0.1 	-0.3 	186.4 	17.3 	-6.9 	-4.9 	-6.2 	173.7 	2.7 	7.5 	-8.5 	23.7 	-1.2 	-4.8 	33.2 	1.5 	35.4 	
95.1 	45.0 	38.4 	5.8 	-0.5 	-0.0 	187.0 	14.8 	-6.5 	-4.9 	-7.3 	173.3 	1.5 	7.4 	-9.7 	23.5 	-1.2 	-4.8 	33.1 	1.4 	35.6 	
95.5 	47.4 	37.1 	5.8 	0.2 	-0.3 	186.2 	11.1 	-7.2 	-5.3 	-5.8 	171.3 	1.9 	6.8 	-9.0 	23.5 	-1.1 	-4.6 	33.0 	1.4 	35.2 	
96.2 	47.4 	38.0 	5.8 	-0.0 	-0.7 	190.7 	15.6 	-7.0 	-5.0 	-6.5 	171.3 	2.2 	6.0 	-10.3 	23.7 	-1.1 	-4.9 	33.1 	1.6 	35.5 	
95.0 	46.4 	36.8 	5.9 	-0.5 	-0.3 	189.9 	14.2 	-6.8 	-4.9 	-6.9 	172.1 	2.0 	7.9 	-9.9 	23.7 	-0.9 	-4.7 	33.1 	1.5 	35.6 	
